Plant Code,PO Number,PO Qunatity,Vendor Name,PO item No.,Material Number,Part Description,UOM,Schedule ID,Date of Planned Dispatch,Qty to be Dispatched,Reciept Done,ASN No,Vendor Acknowledgement,Transporter,Name of transporter,Acknowledgement,Van No (Editable),LR Number,Driver No.,Driver Name,Invoice No.,Invoice Date,Van No. (Editable),Driver Mobile No.,ASN No. (Auto Generated),Actual Dispatch Date,Actual Qty Dispatched
1826,4500288890,1000,85410046   R.C.F  LIMITED,1,40000001,A.N.MELT,EA,SCH_51,8/3/2020,50,No,ASN_51,
1826,4500288890,1000,85410046   R.C.F  LIMITED,1,40000001,A.N.MELT,EA,SCH_52,9/3/2020,10,No,ASN_52,
1826,4500288891,1000,1821 Solar Indus. India Ltd-1821,1,40000001,A.N.MELT,EA,SCH_53,8/3/2020,40,No,ASN_53,
1826,4500288890,1000,85410046   R.C.F  LIMITED,1,40000001,A.N.MELT,EA,SCH_54,10/3/2020,20,No,ASN_54,
1826,4500288891,1000,1821 Solar Indus. India Ltd-1821,1,40000001,A.N.MELT,EA,SCH_55,9/3/2020,30,No,ASN_55,
1826,4500288890,1000,85410046   R.C.F  LIMITED,1,40000001,A.N.MELT,EA,SCH_56,11/3/2020,30,No,ASN_56,
1826,4500288891,1000,1821 Solar Indus. India Ltd-1821,1,40000001,A.N.MELT,EA,SCH_57,10/3/2020,20,No,ASN_57,
1837,4900029866,500,85410046   R.C.F  LIMITED,1,40000050,SODIUM NITRITE (NX),EA,SCH_58,8/3/2020,10,No,ASN_58,
1837,4900029867,500,1821 Solar Indus. India Ltd-1821,1,40000050,SODIUM NITRITE (NX),EA,SCH_59,9/3/2020,10,No,ASN_59,
1837,4900029868,500,85410150   SAN CHEMICALS,1,40000050,SODIUM NITRITE (NX),EA,SCH_60,10/3/2020,10,No,ASN_60,
1832,4500286186,500,85410150   SAN CHEMICALS,1,40000123,SORBITAN MONO OLEATE (SMO),EA,SCH_61,9/3/2020,30,No,ASN_61,
